		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

LTR	Gypsy	210733	144269	183399	132819	141914	313696	356821	439571	379172	341325	341005	188860	188040	211269	206363	140048	174135	112551	104411	106147	116843	113404	127907	102643	137304	157521	103658	124242	76349	84048	60535	54656	27875	19363	18443	6580	3205	151	311	0	0	0	0	0	0	0	0	0	0	0
DNA	DTC	131647	7061	21083	10896	24922	19665	19647	8868	9382	13530	46578	33664	13308	19535	9113	20451	19783	9910	26088	13639	10832	11048	10305	14522	17574	24533	34635	34444	14488	16930	16910	11328	10092	10107	6236	1186	27	364	0	0	0	0	0	0	0	0	0	0	0	0
MITE	DTT	479	0	0	0	0	51	187	0	50	43	75	307	736	384	691	375	1203	1761	1820	2940	1909	3102	1827	2309	1788	1274	539	995	1176	1232	1163	295	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DTT	10154	332	0	62	317	0	144	614	0	75	0	92	118	210	59	131	132	0	124	260	288	81	81	485	0	0	0	0	348	1019	78	402	575	1939	790	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	unknown	44687	13401	51285	45818	20754	13023	10610	14599	29494	41182	22516	33724	30421	17300	14307	12877	17968	12719	10317	7608	11342	6925	7209	7993	8954	9403	2689	2881	1972	1532	1726	3397	1706	1108	1076	821	780	0	0	0	0	0	0	0	0	0	0	0	0	0
MITE	DTA	5710	0	466	0	608	399	1005	276	373	284	1283	451	780	815	1538	1215	750	942	963	1142	704	1391	1901	2705	954	1507	1966	982	313	715	151	151	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DTM	176215	27563	23041	22985	15123	20263	10953	8798	4950	10516	16103	20684	20315	24721	24517	26316	32390	32167	31212	42654	47109	48786	50362	49688	40404	24615	21315	15525	12065	6735	8506	5881	3464	1060	826	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DTA	18178	338	1750	3383	2815	3021	2701	6348	8906	8510	12777	22169	12298	18896	11386	10908	10518	6301	7820	7065	5715	6660	7176	3426	10472	5185	2386	3775	2897	1492	1135	1162	2866	1531	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MITE	DTC	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MITE	DTH	1191	0	0	0	202	0	0	244	0	223	272	0	0	53	0	87	273	0	76	511	232	121	252	0	0	89	509	284	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DTH	40124	2372	6043	4080	3318	2039	6436	6069	2538	4240	6895	9372	6432	8240	4185	5883	6740	5230	12761	7883	11544	13304	11443	11171	15276	22197	16964	14025	11799	5039	8591	3948	1827	849	1863	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Copia	493877	50388	61079	87320	72752	28852	30247	32908	19445	12805	11857	40798	15478	14012	24890	10784	21892	14104	23688	28550	44955	17994	25804	28449	32267	47830	49716	57123	64420	45021	65724	53164	32980	12517	8051	3685	1244	642	286	0	0	0	0	0	0	0	0	0	0	0
MITE	DTM	4360	0	539	441	180	0	1071	1474	1336	446	663	650	380	1271	376	937	181	1253	1048	599	124	536	642	77	412	58	259	110	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Helitron	1179155	132497	153507	123071	162101	234521	196506	168129	187021	252721	192408	154588	145164	140401	179023	161516	177574	190604	170721	179817	182220	168047	167883	139290	126119	95892	81312	72554	72163	80495	73984	77424	76015	67645	47628	14921	10895	3455	544	0	0	0	0	0	0	0	0	0	0	0
