Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
TE_00000547	DNA	Helitron	350	0	0	334	178	0	353	0	350	360	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000403	DNA	Helitron	945	0	0	0	0	13	426	0	0	0	0	0	0	0	0	58	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000466_INT	LTR	Gypsy	1566	302	243	0	468	0	0	0	0	0	0	0	0	0	0	0	171	0	0	102	131	0	0	0	91	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000212	DNA	Helitron	11882	55	0	0	0	0	0	0	0	0	0	124	0	46	0	155	1093	939	1100	355	0	161	72	132	58	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000114	DNA	Helitron	7527	288	641	0	0	0	48	0	95	787	0	469	858	53	823	0	229	558	562	140	0	0	0	171	826	0	0	0	729	0	217	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000408	DNA	DTC	1645	0	0	0	0	0	0	0	0	0	0	0	0	67	0	51	67	0	235	0	53	0	0	116	217	600	473	0	1398	4180	1233	1953	3104	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000555	DNA	DTM	3295	0	0	0	0	0	0	0	0	61	0	0	0	156	0	0	1174	1103	821	503	1268	1176	0	0	0	502	0	0	1670	1623	1974	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000759	DNA	Helitron	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0	208	0	166	303	0	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000336	DNA	DTM	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000574	DNA	DTA	2181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	496	433	130	143	518	378	0	365	444	709	323	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000219	DNA	Helitron	1083	88	0	0	0	0	92	188	67	185	93	0	175	53	0	127	254	160	96	182	66	0	173	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000091	DNA	DTM	1975	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	330	0	0	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000836	DNA	Helitron	1649	0	0	0	0	138	0	0	0	0	0	0	0	0	314	0	0	249	91	467	0	174	197	0	164	0	402	298	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000089	DNA	DTH	1093	100	464	0	205	258	99	79	171	253	95	95	162	187	0	348	537	0	0	0	83	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000575_INT	LTR	Copia	31	0	718	0	0	3394	0	1669	0	0	0	0	0	0	0	996	0	0	0	0	0	0	0	84	150	0	0	218	0	256	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000286	DNA	Helitron	11867	153	0	90	0	0	0	0	0	0	104	0	0	0	0	45	0	49	74	127	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000446	DNA	DTM	4223	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	1409	1440	0	3147	0	0	3490	84	220	154	383	0	265	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000795	DNA	Helitron	8855	2279	25512	19496	3448	5820	1117	8936	5491	12097	5992	1112	2791	1352	2440	1719	2189	1919	2495	2971	1509	690	565	406	0	104	257	322	187	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000437_LTR	LTR	Copia	162	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000182	DNA	DTC	3467	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000160	DNA	Helitron	2722	467	0	0	0	0	0	0	310	931	0	2758	589	0	0	474	538	766	80	1378	1010	773	422	2984	965	655	1048	615	418	0	823	0	51	410	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000338	DNA	DTM	859	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000583	DNA	Helitron	0	0	0	0	0	0	0	961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000685_INT	LTR	Gypsy	0	0	0	0	1589	0	5360	38	0	0	3125	1255	1351	341	5496	1859	2629	769	1674	745	337	113	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000755	DNA	Helitron	3515	0	0	0	0	0	0	801	0	0	0	0	0	0	83	265	0	107	251	0	287	154	377	494	76	460	232	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000741_LTR	LTR	Gypsy	1820	0	34	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	79	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000136	DNA	DTM	1712	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000170	DNA	DTC	4130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000464_INT	LTR	Copia	0	0	0	0	0	0	0	4289	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000303_INT	LTR	Copia	12641	4214	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1590	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000169	MITE	DTM	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000239	DNA	Helitron	8518	1815	3098	250	0	274	304	338	275	1658	5362	1701	1692	726	1231	780	1159	1255	839	1530	1837	1969	2124	1786	1228	1596	524	479	210	229	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000202	DNA	Helitron	11237	2183	23483	10664	544	31993	16188	7811	10336	9058	6110	8446	605	257	1787	0	348	1470	1477	494	975	386	524	214	782	0	0	655	289	704	259	214	215	328	941	102	39	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000703	MITE	DTM	279	0	0	0	0	0	0	0	0	0	86	132	0	0	0	0	0	0	0	133	0	87	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
