All statistics are based on contigs of size >= 3000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    canu_assembly  canu_assembly_polished  flye_assembly  flye_assembly_polished
# contigs (>= 0 bp)         192            192                     164            164                   
# contigs (>= 1000 bp)      192            192                     103            103                   
# contigs (>= 5000 bp)      185            185                     59             59                    
# contigs (>= 10000 bp)     183            183                     49             49                    
# contigs (>= 25000 bp)     162            162                     37             37                    
# contigs (>= 50000 bp)     112            112                     31             31                    
Total length (>= 0 bp)      122977739      123001103               119963782      119950311             
Total length (>= 1000 bp)   122977739      123001103               119925361      119911914             
Total length (>= 5000 bp)   122951239      122974598               119824915      119811844             
Total length (>= 10000 bp)  122937652      122960987               119752542      119739466             
Total length (>= 25000 bp)  122573799      122598770               119566446      119553357             
Total length (>= 50000 bp)  120695097      120723224               119355633      119342541             
# contigs                   190            190                     70             70                    
Largest contig              11567090       11570839                15013467       15013354              
Total length                122973098      122996456               119869541      119856063             
Estimated reference length  135000000      135000000               135000000      135000000             
GC (%)                      36.27          36.26                   36.05          36.05                 
N50                         3435125        3436535                 14082887       14082808              
NG50                        3388652        3389707                 14082887       14082808              
N90                         426854         427111                  3443320        3443144               
NG90                        42912          43856                   -              -                     
auN                         4810862.4      4813051.9               12051185.8     12051151.6            
auNG                        4382271.5      4385098.8               10700519.3     10699285.8            
L50                         10             10                      5              5                     
LG50                        11             11                      5              5                     
L90                         45             45                      9              9                     
LG90                        130            129                     -              -                     
# total reads               78141747       78254473                81407259       81259939              
# left                      38736128       38792423                40347211       40272521              
# right                     38636733       38693164                40291162       40218532              
Mapped (%)                  100.88         100.88                  69.89          71.06                 
Properly paired (%)         91.03          90.97                   63.86          64.52                 
Avg. coverage depth         143            144                     89             90                    
Coverage >= 1x (%)          100.0          100.0                   100.0          100.0                 
# N's per 100 kbp           0.00           0.00                    1.00           0.71                  
