Assembly	canu_assembly	canu_assembly_polished	flye_assembly	flye_assembly_polished	trinity_assembly
# contigs (>= 0 bp)	192	192	164	164	52054
# contigs (>= 1000 bp)	192	192	103	103	28175
# contigs (>= 5000 bp)	185	185	59	59	339
# contigs (>= 10000 bp)	183	183	49	49	4
# contigs (>= 25000 bp)	162	162	37	37	0
# contigs (>= 50000 bp)	112	112	31	31	0
Total length (>= 0 bp)	122977739	123001103	119963782	119950311	68125446
Total length (>= 1000 bp)	122977739	123001103	119925361	119911914	55897272
Total length (>= 5000 bp)	122951239	122974598	119824915	119811844	1956651
Total length (>= 10000 bp)	122937652	122960987	119752542	119739466	44274
Total length (>= 25000 bp)	122573799	122598770	119566446	119553357	0
Total length (>= 50000 bp)	120695097	120723224	119355633	119342541	0
# contigs	190	190	70	70	3377
Largest contig	11567090	11570839	15013467	15013354	12038
Total length	122973098	122996456	119869541	119856063	13022569
Estimated reference length	135000000	135000000	135000000	135000000	135000000
GC (%)	36.27	36.26	36.05	36.05	42.44
N50	3435125	3436535	14082887	14082808	3742
NG50	3388652	3389707	14082887	14082808	-
N90	426854	427111	3443320	3443144	3117
NG90	42912	43856	-	-	-
auN	4810862.4	4813051.9	12051185.8	12051151.6	4042.8
auNG	4382271.5	4385098.8	10700519.3	10699285.8	390.0
L50	10	10	5	5	1418
LG50	11	11	5	5	-
L90	45	45	9	9	2952
LG90	130	129	-	-	-
# N's per 100 kbp	0.00	0.00	1.00	0.71	0.00
