#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
scaffold_18	15013467	30	N	N	1	*	*,18,61,-62,61,-62,61,??,63
contig_16	14462727	29	N	N	1	*	43,44,-43,45,45,46,55,68,68,68,69,-56,43,44,-51,-47,57,-73,-72,16,*
scaffold_20	14289013	29	N	N	1	*	*,20,232,233,232,233,232,233,232,233,232,233,232,233,232,233,232,??,-202
contig_71	14201463	29	N	N	1	*	-204,-204,-204,-203,-204,-204,71
contig_17	14082887	29	N	N	1	*	-203,-203,-203,-203,-204,-203,-203,17
contig_7	13109867	30	N	N	2	*	*,7,-253
contig_19	11332055	29	N	N	1	*	*,19,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106,-106
scaffold_11	8998579	29	N	N	1	*	74,-30,26,260,-38,-39,-31,-27,-25,-26,30,-77,-74,-58,-47,57,-73,11,-236,237,-236,237,-236,237,??,-65,-235
contig_10	3443320	28	N	N	1	*	*,10,259,-66,-259
scaffold_15	2809513	30	N	N	1	*	67,-15,-219,-219,-219,??,-201,??,200,200,-9,221,220,221,??,222
